ID,INFERRED_GROUP,MIN_LOD,MEAN_LOD,MAX_LOD,NOTE
CC0001_1_sorted,00_A,3.0353,9.4487,22.8582,
CC0001_2_sorted,00_A,4.4363,10.3846,22.4296,
CC0001_3_sorted,00_A,2.5869,4.3402,8.2819,
CC0001_4_sorted,00_A,2.5869,8.5941,16.9531,
CC0001_5_sorted,00_A,2.9044,9.8697,19.9811,
CC0001_6_sorted,00_A,4.1375,11.295,23.135,
CC0001_7_sorted,00_A,2.6283,9.2022,21.9199,
CC0001_8_sorted,00_A,6.5261,12.4516,28.804,
CC0002_1_sorted,00_A,4.525,11.762,24.375,
CC0002_2_sorted,00_B,14.1969,20.2108,33.8326,
CC0002_3_sorted,00_B,15.7083,21.3073,37.5837,
CC0002_4_sorted,00_B,14.1969,18.8772,33.4358,
CC0002_5_sorted,00_B,14.8282,19.4877,33.8469,
CC0002_6_sorted,00_B,16.69,22.3728,40.5123,
CC0002_7_sorted,00_B,18.1953,22.3855,35.9259,
CC0002_8_sorted,00_B,15.6881,19.209,31.4649,
CC0002_9_sorted,00_B,19.3052,23.9134,43.7986,
CC0003_1_sorted,00_C,15.8908,21.9094,35.1832,
CC0003_2_sorted,00_C,6.856,12.6912,35.44,
CC0003_3_sorted,00_C,3.2772,5.9339,10.8874,
CC0003_4_sorted,00_C,4.2255,10.5448,30.9473,
CC0003_5_sorted,00_C,3.1559,5.6315,9.8963,
CC0003_6_sorted,00_C,2.0011,5.2417,12.8295,
CC0003_7_sorted,00_C,1.7572,5.2053,11.293,
CC0003_8_sorted,00_C,4.5462,11.7415,37.0294,
CC0003_9_sorted,00_C,1.7572,5.6598,13.084,
CC0003_10_sorted,00_D,-,-,-,ALL INCLUSIVE
